series,seriesLabel,wikipediaPage,image,startTime,follower,score,locations,countries,genres,maleCreatorsCount,femaleCreatorsCount,otherCreatorsCount
http://www.wikidata.org/entity/Q109354365,Overlord und die Underwoods,https://en.wikipedia.org/wiki/Overlord_and_the_Underwoods,,2021,,,,Canada,sitcom,1,0,0
http://www.wikidata.org/entity/Q11041252,Cara o cruz,https://en.wikipedia.org/wiki/Cara_o_cruz,,2001,,,Mexico,Mexico,telenovela,1,0,0
http://www.wikidata.org/entity/Q10387276,Um Anjo Caiu do Céu,https://en.wikipedia.org/wiki/Um_Anjo_Caiu_do_C%C3%A9u,,2001,,,,Brazil,"telenovela, soap opera",1,0,0
http://www.wikidata.org/entity/Q7073210,O Beijo do Vampiro,https://en.wikipedia.org/wiki/O_Beijo_do_Vampiro,,2002,,,,Brazil,telenovela,2,0,0
http://www.wikidata.org/entity/Q54202857,All American,https://en.wikipedia.org/wiki/All_American_(TV_series),,2017,93149,,,United States of America,drama television series,0,1,0
http://www.wikidata.org/entity/Q858094,Capadocia,https://en.wikipedia.org/wiki/Capadocia_(TV_series),,2008,,,Mexico,Mexico,LGBT-related television series,0,0,0
http://www.wikidata.org/entity/Q5742629,Hero Bhakti Hi Shakti Hai,https://en.wikipedia.org/wiki/Hero_%E2%80%93_Bhakti_Hi_Shakti_Hai,,2005,,,,India,,1,0,0
http://www.wikidata.org/entity/Q8056668,You're the One,https://en.wikipedia.org/wiki/You%27re_the_One_(TV_series),,1998,,,New York City,United States of America,American television sitcom,0,1,0
http://www.wikidata.org/entity/Q11976207,Hvaler,https://en.wikipedia.org/wiki/Hvaler_(TV_series),,2008,,,,Norway,drama television series,1,0,0
http://www.wikidata.org/entity/Q5889555,Homeland Security USA,https://en.wikipedia.org/wiki/Homeland_Security_USA,,2009,,,,United States of America,reality television,1,0,0
http://www.wikidata.org/entity/Q114056639,The Spiderwick Chronicles,https://en.wikipedia.org/wiki/The_Spiderwick_Chronicles_(TV_series),,2024,,,,United States of America,"adventure television series, fantasy television series, television series based on a novel, teen drama television",1,1,0
